Chord,E,A,D,G,B,E2,Structure,Note1,Note2,Note3,Note4,Note5,Note6
Bbmaj7;12,2,x,3,4,2,1,1;3;5;7,A#,x,A,D,F,A
Bbmaj7;13,x,1,4,2,x,x,1;3;5;7,x,A#,F,A,x,x
Bbmaj7;14,x,1,0,2,4,1,1;3;5;7,x,A#,D,A,D,F
Bbmaj9;1,x,1,0,4,2,3,1;3;5;7;9,x,A#,D,A,C,F
Bbmaj9;2,2,1,4,1,x,x,1;3;5;7;9,A#,D,A,C,x,x
Bbmaj9;3,x,x,4,1,2,1,1;3;5;7;9,x,x,A#,C,F,A
Bbmaj9;4,x,1,4,1,2,1,1;3;5;7;9,x,D,A#,C,F,A
Bbmaj9;5,x,x,1,3,4,1,1;3;5;7;9,x,x,A#,F,A,C
Bbmaj9;6,x,1,3,2,1,x,1;3;5;7;9,x,A#,F,A,C,x
Bbsus2;1,x,1,3,4,1,1,1;2;5,x,A#,F,A#,C,F
Bbsus4;1,x,1,2,3,4,1,1;4;5,x,A#,F,A#,D,F
Bbsus4;2,x,x,1,1,2,4,1;4;5,x,x,F,A#,D,A#
Bbsus4;3,1,1,3,4,1,1,1;4;5,A#,D,A#,D,F,A#
Bbsus4;4,x,1,3,3,4,x,1;4;5,x,A#,F,A#,D,x
C5;1,x,1,3,x,x,x,1;5,x,C,G,x,x,x
C5;2,1,3,x,x,x,x,1;5,C,G,x,x,x,x
C5;3,x,1,3,4,x,x,1;5,x,C,G,C,x,x
C5;4,1,3,4,x,x,x,1;5,C,G,C,x,x,x
C5;5,1,1,3,x,x,x,1;5,G,C,G,x,x,x
C5;6,x,x,2,3,x,x,1;5,x,x,G,C,x,x
C5;7,x,x,1,3,4,x,1;5,x,x,C,G,C,x
C6;1,x,4,2,3,1,0,1;3;5;6,x,C,E,A,C,E
C6;2,x,1,3,3,3,3,1;3;5;6,x,C,G,C,E,A
C6;3,1,x,3,2,4,1,1;3;5;6,C,x,C,E,A,C
C6;4,2,x,1,4,3,x,1;3;5;6,C,x,A,E,G,x
C6;5,x,x,3,2,4,1,1;3;5;6,x,x,C,E,A,C
C6;6,x,x,x,1,1,1,1;3;5;6,x,x,x,C,E,A
C6;7,2,x,1,4,x,x,1;3;5;6,C,x,A,E,x,x
C6;8,x,4,2,3,1,x,1;3;5;6,x,C,E,A,C,x
C6;9,x,2,1,1,x,x,1;3;5;6,x,C,E,A,x,x
C6;10,x,x,1,1,1,1,1;3;5;6,x,x,G,C,E,A
C7;1,x,3,2,4,1,0,1;3;5;b7,x,C,E,A#,C,E
C7;2,x,1,3,1,4,1,1;3;5;b7,x,C,G,A#,E,G
C7;3,1,3,1,2,4,1,1;3;5;b7,C,G,A#,E,A#,C
C7;4,x,x,1,1,1,3,1;3;5;b7,x,x,G,C,E,A#
C7;5,x,2,1,3,x,x,1;3;5;b7,x,C,E,A#,x,x
C7;6,x,x,3,2,4,1,1;3;5;b7,x,x,C,E,A#,C
C7;7,1,3,1,2,1,1,1;3;5;b7,C,G,A#,E,G,C
C7;8,1,x,2,4,3,x,1;3;5;b7,C,x,A#,E,G,x
C7;9,x,x,1,3,2,4,1;3;5;b7,x,x,C,G,A#,E
C7;10,x,x,3,4,2,1,1;3;5;b7,x,x,E,A#,C,E
C7;11,x,2,1,3,x,4,1;3;5;b7,x,C,E,A#,x,G
C7;12,2,x,1,3,x,x,1;3;5;b7,G,x,E,A#,x,x
C7;13,4,3,1,1,1,2,1;3;5;b7,C,E,G,C,E,A#
C7;14,x,3,2,4,1,x,1;3;5;b7,x,C,E,A#,C,x
C7;15,x,x,3,1,4,1,1;3;5;b7,x,x,G,A#,E,G
C7;16,x,x,2,3,1,4,1;3;5;b7,x,x,E,A#,C,G
C7;17,x,3,2,4,1,x,1;3;5;b7,x,C,E,A#,C,x
C9;1,x,2,1,3,4,x,1;3;5;b7;9,x,C,E,A#,D,x
C9;2,x,1,3,2,4,x,1;3;5;b7;9,x,E,A#,D,G,x
C9;3,x,x,2,1,3,4,1;3;5;b7;9,x,x,A#,D,G,C
C9;4,x,2,1,3,3,3,1;3;5;b7;9,x,C,E,A#,D,G
C9;5,x,2,1,3,3,3,1;3;5;b7;9,x,C,E,A#,D,G
C9;6,x,x,1,3,2,1,1;3;5;b7;9,x,x,C,G,A#,D
C9;7,2,x,1,3,3,3,1;3;5;b7;9,G,x,E,A#,D,G
C9;8,2,1,3,1,4,x,1;3;5;b7;9,C,E,A#,D,G,x
C9;9,x,x,2,1,4,3,1;3;5;b7;9,x,x,C,E,A#,D
C11;1,x,1,1,1,1,1,1;3;5;b7;9;11,x,C,F,A#,D,G
C11;2,3,x,4,2,1,1,1;3;5;b7;9;11,C,x,A#,D,F,A#
C11;3,x,x,1,1,2,1,1;3;5;b7;9;11,x,x,C,F,A#,D
C13;1,x,2,1,3,3,4,1;3;5;b7;9;11;13,x,C,E,A#,D,A
C13;2,3,x,4,2,1,1,1;3;5;b7;9;11;13,C,x,A#,D,E,A
C13;3,1,x,1,2,3,4,1;3;5;b7;9;11;13,C,x,A#,E,A,D
C13;4,1,x,2,3,4,x,1;3;5;b7;9;11;13,C,x,A#,E,A,x
C13;5,1,3,1,2,4,1,1;3;5;b7;9;11;13,C,G,A#,E,A,C
C13;6,x,x,1,2,2,4,1;3;5;b7;9;11;13,x,x,E,A#,D,A
C13;7,x,1,x,1,1,4,1;3;5;b7;9;11;13,x,C,x,A#,D,A
C13;8,1,x,1,2,3,1,1;3;5;b7;9;11;13,C,x,A#,E,A,C
C43991;1,x,2,1,1,3,4,1;3;5;6;9,x,C,E,A,D,G
C43991;2,2,1,1,1,3,4,1;3;5;6;9,C,E,A,D,G,C
C43991;3,x,x,2,1,3,4,1;3;5;6;9,x,x,C,E,A,D
C43991;4,x,2,1,1,3,x,1;3;5;6;9,x,C,E,A,D,x
C13(b9);1,x,x,1,2,4,3,1;3;5;b7;b9;11;13,x,x,A#,E,A,C#
C7(#11);1,2,x,3,4,1,x,1;3;5;b7;#11,C,x,A#,E,F#,x
C7(#11);2,x,1,3,1,x,x,1;3;5;b7;#11,x,C,F#,A#,x,x
C7(#11);3,x,x,x,1,3,2,1;3;5;b7;#11,x,x,x,C,F#,A#
C7(#5);1,x,1,2,1,1,x,1;3;#5;b7,x,A#,E,G#,C,x
C7(#5);2,x,1,4,1,3,2,1;3;#5;b7,x,C,G#,A#,E,G#
C7(#5);3,1,x,1,2,3,1,1;3;#5;b7,C,x,A#,E,G#,C
C7(#5);4,1,x,2,3,4,x,1;3;#5;b7,C,x,A#,E,G#,x
C7(#9);1,x,2,1,3,4,x,1;3;5;b7;#9,x,C,E,A#,D#,x
C7(#9);2,2,1,3,3,3,x,1;3;5;b7;#9,C,E,A#,D#,G,x
C7(#9);3,1,3,1,2,1,4,1;3;5;b7;#9,C,G,A#,E,G,D#
C7(b9);1,x,2,1,3,1,x,1;3;5;b7;b9,x,C,E,A#,C#,x
C7(b9);2,3,2,4,1,x,x,1;3;5;b7;b9,C,E,A#,C#,x,x
C7(b9);3,1,x,1,2,1,3,1;3;5;b7;b9,C,x,A#,E,G,C#
C7(b9);4,x,2,1,3,1,4,1;3;5;b7;b9,x,C,E,A#,C#,G
C7(b9);5,3,x,1,4,2,x,1;3;5;b7;b9,G,x,E,A#,C#,x
C7b5;1,x,1,2,1,3,x,1;3;b5;b7,x,C,F,A#,E,x
C7b5;2,x,x,2,4,1,3,1;3;b5;b7,x,x,A#,E,F,C
C7b5;3,1,3,2,4,x,x,1;3;b5;b7,C,F,A#,E,x,x
C7sus4;1,x,2,3,4,1,x,1;4;5;b7,x,C,F,A#,C,x
C7sus4;2,x,1,3,1,4,1,1;4;5;b7,x,C,G,A#,F,G
C7sus4;3,1,3,1,4,1,1,1;4;5;b7,C,G,A#,F,G,C
C9(#5);1,x,x,1,2,3,4,1;3;#5;b7;9,x,x,A#,E,G#,D
C9b5;1,1,2,1,3,4,1,1;3;b5;b7;9,F,C,E,A#,D,F
C9b5;2,2,1,3,1,1,4,1;3;b5;b7;9,C,E,A#,D,F,C
C9b5;3,x,x,1,2,3,1,1;3;b5;b7;9,x,x,C,F,A#,D
Cadd9;1,x,2,1,0,3,4,1;3;5;9,x,C,E,G,D,G
Cadd9;2,x,2,1,0,3,0,1;3;5;9,x,C,E,G,D,E
Cadd9;3,x,x,3,2,1,4,1;3;5;9,x,x,C,E,G,D
Cadd9;4,x,1,0,0,2,0,1;3;5;9,x,C,D,G,D,E
Cadd9;5,x,3,0,0,1,0,1;3;5;9,x,C,D,G,C,E
Caug;1,x,3,2,1,1,x,1;3;#5,x,C,E,G#,C,x
Caug;2,4,3,2,1,x,x,1;3;#5,G#,C,E,G#,x,x
Caug;3,x,x,4,2,3,1,1;3;#5,x,x,C,E,G#,C
Cdim;1,x,1,2,3,4,x,1;b3;b5,x,C,F,C,D,x
Cdim;2,x,x,4,3,1,2,1;b3;b5,x,x,C,D,F,C
Cdim;3,1,2,4,3,x,x,1;b3;b5,C,F,C,D,x,x
Cdim7;1,2,4,1,3,x,x,1;b3;b5;bb7,F,C,D,A,x,x
Cdim7;2,x,2,3,1,4,x,1;b3;b5;bb7,x,D,A,C,F,x
Cdim7;3,x,x,1,3,2,4,1;b3;b5;bb7,x,x,C,F,A,D
Cdim7;4,x,2,3,1,4,x,1;b3;b5;bb7,x,C,F,A,D,x
Cdim7;5,x,x,1,3,2,4,1;b3;b5;bb7,x,x,D,A,C,F
Cdim7;6,x,x,x,2,1,3,1;b3;b5;bb7,x,x,x,F,A,D
Cdim7;7,3,x,1,4,2,x,1;b3;b5;bb7,F,x,D,A,C,x
Cdim7;8,3,x,1,4,2,x,1;b3;b5;bb7,A,x,F,C,D,x
Cdim7;9,3,x,1,4,2,x,1;b3;b5;bb7,C,x,A,D,F,x
Cdim7;10,x,x,1,3,2,4,1;b3;b5;bb7,x,x,F,C,D,A
Cdim7;11,x,x,1,3,2,4,1;b3;b5;bb7,x,x,A,D,F,C
Cdim7;12,x,2,3,1,4,x,1;b3;b5;bb7,x,F,C,D,A,x
Cdim7;13,x,2,3,1,4,x,1;b3;b5;bb7,x,A,D,F,C,x
Cdim7;14,3,x,1,4,2,x,1;b3;b5;bb7,D,x,C,F,A,x
Cdim7;15,x,3,1,2,x,x,1;b3;b5;bb7,x,C,D,A,x,x
Cdim7;16,2,x,1,3,x,x,1;b3;b5;bb7,C,x,A,D,x,x
Cm;1,x,4,1,0,2,x,1;b3;5,x,C,D,G,C,x
Cm;2,x,1,3,4,2,1,1;b3;5,x,C,G,C,D,G
Cm;3,1,3,4,1,1,1,1;b3;5,C,G,C,D,G,C
Cm;4,x,1,3,4,2,x,1;b3;5,x,C,G,C,D,x
Cm;5,x,x,3,4,2,1,1;b3;5,x,x,G,C,D,G
Cm;6,x,x,x,3,2,1,1;b3;5,x,x,x,C,D,G
Cm;7,x,1,x,0,2,x,1;b3;5,x,C,x,G,D,x
Cm;8,x,1,x,3,2,1,1;b3;5,x,C,x,C,D,G
Cm;9,4,2,1,1,x,x,1;b3;5,C,D,G,C,x,x
Cm;10,x,x,1,3,4,2,1;b3;5,x,x,C,G,C,D
Cm;11,x,4,2,1,3,x,1;b3;5,x,C,D,G,C,x
Cm;12,x,x,x,1,1,1,1;b3;5,x,x,x,D,G,C
Cm;13,x,x,3,1,1,1,1;b3;5,x,x,C,D,G,C
Cm;14,x,x,3,1,1,x,1;b3;5,x,x,C,D,G,x
Cm;15,x,3,4,1,x,x,1;b3;5,x,G,C,D,x,x
Cm;16,2,1,1,x,x,x,1;b3;5,D,G,C,x,x,x
Cm;17,x,x,3,4,2,x,1;b3;5,x,x,G,C,D,x
Cm;18,x,2,1,1,x,x,1;b3;5,x,D,G,C,x,x
Cm;19,4,2,1,x,x,x,1;b3;5,C,D,G,x,x,x
Cm(maj7);1,1,x,4,2,3,x,1;b3;5;7,C,x,B,D,G,x
Cm(maj7);2,x,1,3,2,2,x,1;b3;5;7,x,C,G,B,D,x
Cm(maj7);3,x,1,4,2,3,1,1;b3;5;7,x,C,G,B,D,G
Cm11;1,2,x,3,4,1,x,1;b3;5;b7;9;11,C,x,A#,D,F,x
Cm11;2,x,2,1,3,4,1,1;b3;5;b7;9;11,x,C,D,A#,D,F
Cm11;3,2,x,3,4,1,1,1;b3;5;b7;9;11,C,x,A#,D,F,A#
Cm11;4,x,2,1,3,4,1,1;b3;5;b7;9;11,x,C,D,A#,D,F
Cm11;5,x,1,1,1,2,1,1;b3;5;b7;9;11,x,C,F,A#,D,G
Cm11;6,x,1,1,1,1,1,1;b3;5;b7;9;11,x,C,F,A#,D,G
Cm11;7,x,x,3,4,1,x,1;b3;5;b7;9;11,x,x,A#,D,F,x
Cm11;8,x,x,1,3,1,1,1;b3;5;b7;9;11,x,x,D,A#,C,F
Cm13;1,2,x,3,3,4,x,1;b3;5;b7;9;11;13,C,x,A#,D,A,x
Cm13;2,x,x,1,2,2,4,1;b3;5;b7;9;11;13,x,x,D,A#,D,A
Cm6;1,x,3,1,2,1,x,1;b3;5;6,x,C,D,A,C,x
Cm6;2,x,1,x,3,2,4,1;b3;5;6,x,C,x,C,D,A
Cm6;3,1,x,3,1,4,1,1;b3;5;6,C,x,C,D,A,C
Cm6;4,2,x,1,3,4,x,1;b3;5;6,C,x,A,D,G,x
Cm6/9;1,x,x,1,2,2,4,1;b3;5;6;9,x,x,A,D,G,D
Cm7;1,x,3,1,4,1,x,1;b3;5;b7,x,C,D,A#,C,x
Cm7;2,x,1,3,1,2,1,1;b3;5;b7,x,C,G,A#,D,G
Cm7;3,1,3,1,1,4,1,1;b3;5;b7,C,G,A#,D,A#,C
Cm7;4,2,x,3,3,3,x,1;b3;5;b7,C,x,A#,D,G,x
Cm7;5,x,1,x,2,3,x,1;b3;5;b7,x,C,x,A#,D,x
Cm7;6,1,3,1,1,1,1,1;b3;5;b7,C,G,A#,D,G,C
Cm7;7,2,x,x,3,4,1,1;b3;5;b7,C,x,x,D,G,A#
Cm7;8,x,x,1,3,2,2,1;b3;5;b7,x,x,C,G,A#,D
Cm7;9,x,2,1,3,4,x,1;b3;5;b7,x,C,D,A#,D,x
Cm7;10,x,2,1,3,4,x,1;b3;5;b7,x,C,D,A#,D,x
Cm7b5;1,x,1,3,2,4,x,1;b3;b5;b7,x,C,F,A#,D,x
Cm7b5;2,2,x,3,4,1,x,1;b3;b5;b7,C,x,A#,D,F,x
Cm7b5;3,1,2,1,1,x,x,1;b3;b5;b7,C,F,A#,D,x,x
Cm7b5;4,x,x,1,2,2,2,1;b3;b5;b7,x,x,C,F,A#,D
Cm7b5;5,x,2,x,3,4,1,1;b3;b5;b7,x,C,x,A#,D,F
Cm9;1,x,2,1,3,4,x,1;b3;5;b7;9,x,C,D,A#,D,x
Cm9;2,3,1,4,2,x,x,1;b3;5;b7;9,C,D,A#,D,x,x
Cm9;3,1,3,1,1,1,4,1;b3;5;b7;9,C,G,A#,D,G,D
Cm9;4,x,x,2,1,4,3,1;b3;5;b7;9,x,x,C,D,A#,D
Cmaj;1,x,1,3,3,3,x,1;3;5,x,C,G,C,E,x
Cmaj;2,1,3,4,2,1,1,1;3;5,C,G,C,E,G,C
Cmaj;3,x,3,2,0,1,0,1;3;5,x,C,E,G,C,E
Cmaj;4,x,x,x,0,1,0,1;3;5,x,x,x,G,C,E
Cmaj;5,x,1,3,3,3,1,1;3;5,x,C,G,C,E,G
Cmaj;6,x,1,2,3,4,0,1;3;5,x,C,G,C,E,E
Cmaj;7,3,4,2,0,1,0,1;3;5,G,C,E,G,C,E
Cmaj;8,2,x,x,3,x,x,1;3;5,C,x,x,E,x,x
Cmaj;9,x,3,2,0,1,x,1;3;5,x,C,E,G,C,x
Cmaj;10,x,x,1,1,1,4,1;3;5,x,x,G,C,E,C
Cmaj;11,x,x,x,3,4,1,1;3;5,x,x,x,C,E,G
Cmaj;12,x,x,1,1,1,x,1;3;5,x,x,G,C,E,x
Cmaj;13,x,2,1,x,x,x,1;3;5,x,C,E,x,x,x
Cmaj;14,x,x,3,2,1,1,1;3;5,x,x,C,E,G,C
Cmaj;15,x,3,2,0,1,4,1;3;5,x,C,E,G,C,G
Cmaj;16,x,1,x,0,4,x,1;3;5,x,C,x,G,E,x
Cmaj;17,3,x,2,0,1,0,1;3;5,G,x,E,G,C,E
Cmaj13;1,1,x,2,3,4,x,1;3;5;7;9;11;13,C,x,B,E,A,x
Cmaj13;2,1,x,2,3,4,4,1;3;5;7;9;11;13,C,x,B,E,A,D
Cmaj13;3,x,1,3,2,1,4,1;3;5;7;9;11;13,x,C,G,B,D,A
Cmaj13;4,x,1,4,2,1,x,1;3;5;7;9;11;13,x,C,A,B,D,x
Cmaj13;5,x,1,x,2,3,4,1;3;5;7;9;11;13,x,C,x,B,E,A
Cmaj13;6,1,1,3,2,1,4,1;3;5;7;9;11;13,G,C,G,B,D,A
Cmaj7;1,x,3,2,0,0,0,1;3;5;7,x,C,E,G,B,E
Cmaj7;2,x,1,3,2,4,1,1;3;5;7,x,C,G,B,E,G
Cmaj7;3,x,x,4,3,2,1,1;3;5;7,x,x,C,E,G,B
Cmaj7;4,x,1,3,2,4,x,1;3;5;7,x,C,G,B,E,x
Cmaj7;5,1,x,3,4,2,x,1;3;5;7,C,x,B,E,G,x
Cmaj7;6,3,4,2,0,0,0,1;3;5;7,G,C,E,G,B,E
Cmaj7;7,1,3,4,2,0,0,1;3;5;7,C,G,C,E,B,E
Cmaj7;8,x,1,3,4,0,0,1;3;5;7,x,C,G,C,B,E
Cmaj7;9,1,x,3,4,x,x,1;3;5;7,C,x,B,E,x,x
Cmaj7;10,x,2,1,0,0,3,1;3;5;7,x,C,E,G,B,G
Cmaj7;11,x,2,4,0,0,0,1;3;5;7,x,C,G,G,B,E
Cmaj7;12,x,x,1,1,1,3,1;3;5;7,x,x,G,C,E,B
Cmaj7;13,x,x,2,3,1,1,1;3;5;7,x,x,B,E,G,C
Cmaj7;14,x,x,1,3,3,3,1;3;5;7,x,x,C,G,B,E
Cmaj7;15,x,1,3,2,4,0,1;3;5;7,x,C,G,B,E,E
Cmaj7;16,x,x,2,4,1,3,1;3;5;7,x,x,E,B,C,G
Cmaj7;17,2,x,1,3,4,x,1;3;5;7,E,x,C,G,B,x
Cmaj7;18,x,x,2,4,1,3,1;3;5;7,x,x,E,B,C,G
Cmaj9;1,x,2,1,4,3,x,1;3;5;7;9,x,C,E,B,D,x
Cmaj9;2,2,1,3,1,x,x,1;3;5;7;9,C,E,B,D,x,x
Cmaj9;3,x,x,4,1,2,1,1;3;5;7;9,x,x,C,D,G,B
Cmaj9;4,x,1,4,3,2,0,1;3;5;7;9,x,C,G,B,D,E
Cmaj9;5,x,1,0,3,2,0,1;3;5;7;9,x,C,D,B,D,E
Cmaj9;6,x,3,0,0,0,0,1;3;5;7;9,x,C,D,G,B,E
Cmaj9;7,x,x,1,3,2,2,1;3;5;7;9,x,x,E,B,D,G
Cmaj9;8,x,x,2,3,1,4,1;3;5;7;9,x,x,B,E,G,D
Cmaj9;9,x,2,0,0,1,0,1;3;5;7;9,x,B,D,G,C,E
Cmaj9;10,2,x,4,1,3,x,1;3;5;7;9,C,x,B,D,G,x
Cmaj9;11,x,x,2,1,4,3,1;3;5;7;9,x,x,C,E,B,D
Cmaj;18,0,3,2,0,1,0,1;3;5,E,C,E,G,C,E
Csus2;1,x,1,3,4,1,1,1;2;5,x,C,G,C,D,G
Csus2;2,x,2,x,0,3,4,1;2;5,x,C,x,G,D,G
Csus2;3,x,2,0,0,3,4,1;2;5,x,C,D,G,D,G
Csus4;1,x,3,4,0,1,x,1;4;5,x,C,F,G,C,x
Csus4;2,x,1,2,3,4,1,1;4;5,x,C,G,C,F,G
Csus4;3,1,1,3,4,1,1,1;4;5,C,F,C,F,G,C
C#5;1,x,1,3,x,x,x,1;5,x,C#,G#,x,x,x
C#5;2,x,1,3,4,x,x,1;5,x,C#,G#,C#,x,x
C#5;3,1,1,3,x,x,x,1;5,G#,C#,G#,x,x,x
C#5;4,1,3,4,x,x,x,1;5,C#,G#,C#,x,x,x
C#5;5,x,x,1,3,4,x,1;5,x,x,C#,G#,C#,x
C#6;1,x,4,2,3,1,x,1;3;5;6,x,C#,F,A#,C#,x
C#6;2,x,1,3,3,3,3,1;3;5;6,x,C#,G#,C#,F,A#
C#6;3,1,x,3,2,4,1,1;3;5;6,C#,x,C#,F,A#,C#
C#7;1,x,3,2,4,1,x,1;3;5;b7,x,C#,F,B,C#,x
C#7;2,x,1,3,1,4,1,1;3;5;b7,x,C#,G#,B,F,G#
C#7;3,1,3,1,2,4,1,1;3;5;b7,C#,G#,B,F,B,C#
C#7;4,x,x,2,3,1,4,1;3;5;b7,x,x,F,B,C#,G#
C#7;5,x,2,1,3,0,4,1;3;5;b7,x,C#,F,B,B,G#
C#7;6,2,x,3,4,1,x,1;3;5;b7,G#,x,F,B,C#,x
C#7;7,1,3,1,2,1,1,1;3;5;b7,C#,G#,B,F,G#,C#
C#7;8,x,2,1,3,x,x,1;3;5;b7,x,C#,F,B,x,x
C#7;9,1,x,1,2,x,x,1;3;5;b7,C#,x,B,F,x,x
C#7;10,x,x,1,1,1,2,1;3;5;b7,x,x,G#,C#,F,B
C#7;11,x,x,1,3,2,4,1;3;5;b7,x,x,C#,G#,B,F
C#9;1,x,2,1,3,4,x,1;3;5;b7;9,x,C#,F,B,D#,x
C#9;2,x,1,3,2,4,x,1;3;5;b7;9,x,F,B,D#,G#,x
C#9;3,x,x,2,1,3,4,1;3;5;b7;9,x,x,B,D#,G#,C#
C#9;4,x,2,1,3,3,3,1;3;5;b7;9,x,C#,F,B,D#,G#
C#9;5,x,x,3,2,1,4,1;3;5;b7;9,x,x,B,D#,F,C#
C#11;1,x,1,1,1,1,1,1;3;5;b7;9;11,x,C#,F#,B,D#,G#
C#11;2,4,x,3,2,1,1,1;3;5;b7;9;11,C#,x,B,D#,F#,B
C#11;3,x,x,1,1,2,1,1;3;5;b7;9;11,x,x,C#,F#,B,D#
C#13;1,x,2,1,3,3,4,1;3;5;b7;9;11;13,x,C#,F,B,D#,A#
C#13;2,3,x,4,2,1,1,1;3;5;b7;9;11;13,C#,x,B,D#,F,A#
C#13;3,1,x,1,2,3,4,1;3;5;b7;9;11;13,C#,x,B,F,A#,D#
C#43991;1,x,2,1,1,3,4,1;3;5;6;9,x,C#,F,A#,D#,G#
C#43991;2,2,1,1,1,3,4,1;3;5;6;9,C#,F,A#,D#,G#,C#
C#43991;3,x,x,2,1,3,4,1;3;5;6;9,x,x,C#,F,A#,D#
C#7(#5);1,x,1,2,1,1,x,1;3;#5;b7,x,B,F,A,C#,x
C#7(#5);2,x,1,4,1,3,2,1;3;#5;b7,x,C#,A,B,F,A
C#7(#5);3,1,x,1,2,3,1,1;3;#5;b7,C#,x,B,F,A,C#
C#7(#9);1,x,2,1,3,4,x,1;3;5;b7;#9,x,C#,F,B,E,x
C#7(#9);2,2,1,3,3,3,x,1;3;5;b7;#9,C#,F,B,E,G#,x
C#7(#9);3,1,3,1,2,1,4,1;3;5;b7;#9,C#,G#,B,F,G#,E
C#7(b9);1,x,2,1,3,1,x,1;3;5;b7;b9,x,C#,F,B,D,x
C#7(b9);2,3,2,4,1,x,x,1;3;5;b7;b9,C#,F,B,D,x,x
C#7(b9);3,1,x,1,2,1,3,1;3;5;b7;b9,C#,x,B,F,G#,D
C#7b5;1,x,1,2,1,3,x,1;3;b5;b7,x,C#,G,B,F,x
C#7b5;2,x,x,2,4,1,3,1;3;b5;b7,x,x,B,F,G,C#
C#7b5;3,1,3,2,4,x,x,1;3;b5;b7,C#,G,B,F,x,x
C#7sus4;1,x,2,3,4,1,x,1;4;5;b7,x,C#,F#,B,C#,x
C#7sus4;2,x,1,3,1,4,1,1;4;5;b7,x,C#,G#,B,F#,G#
C#7sus4;3,1,3,1,4,1,1,1;4;5;b7,C#,G#,B,F#,G#,C#
C#7sus4;4,1,x,1,4,x,x,1;4;5;b7,C#,x,B,F#,x,x
C#9(#11);1,x,2,1,3,4,1,1;3;5;b7;9;#11,x,C#,F,B,D#,G
C#9b5;1,1,2,1,3,4,1,1;3;b5;b7;9,G,C#,F,B,D#,G
C#9b5;2,2,1,3,1,1,4,1;3;b5;b7;9,C#,F,B,D#,G,C#
C#9b5;3,x,x,1,2,3,1,1;3;b5;b7;9,x,x,C#,G,B,D#
C#aug;1,x,3,2,1,1,x,1;3;#5,x,C#,F,A,C#,x
C#aug;2,4,3,2,1,x,x,1;3;#5,A,C#,F,A,x,x
C#aug;3,x,x,4,2,3,1,1;3;#5,x,x,C#,F,A,C#
C#dim;1,x,1,2,4,3,x,1;b3;b5,x,C#,G,C#,E,x
C#dim;2,x,x,4,3,1,2,1;b3;b5,x,x,C#,E,G,C#
C#dim;3,1,2,3,1,x,x,1;b3;b5,C#,G,C#,E,x,x
C#dim;4,x,2,x,0,x,1,1;b3;b5,x,C#,x,G,x,G
C#dim;5,x,3,1,x,x,x,1;b3;b5,x,C#,E,x,x,x
C#dim7;1,2,4,1,3,x,x,1;b3;b5;bb7,G,C#,E,A#,x,x
C#dim7;2,x,2,3,1,4,x,1;b3;b5;bb7,x,E,A#,C#,G,x
C#dim7;3,x,x,1,3,2,4,1;b3;b5;bb7,x,x,C#,G,A#,E
C#dim7;4,x,2,3,1,4,x,1;b3;b5;bb7,x,C#,G,A#,E,x
C#dim7;5,x,x,1,3,2,4,1;b3;b5;bb7,x,x,G,C#,E,A#
C#dim7;6,x,x,1,3,2,4,1;b3;b5;bb7,x,x,A#,E,G,C#
C#dim7;7,2,x,1,3,x,x,1;b3;b5;bb7,C#,x,A#,E,x,x
C#dim7;8,x,x,1,3,2,4,1;b3;b5;bb7,x,x,E,A#,C#,G
C#dim7;9,3,x,1,4,2,x,1;b3;b5;bb7,G,x,E,A#,C#,x
C#dim7;10,x,3,1,2,x,x,1;b3;b5;bb7,x,C#,E,A#,x,x
C#dim7;11,x,2,3,1,4,1,1;b3;b5;bb7,x,C#,G,A#,E,G
C#m;1,x,1,3,4,2,1,1;b3;5,x,C#,G#,C#,E,G#
C#m;2,1,3,4,1,1,1,1;b3;5,C#,G#,C#,E,G#,C#
C#m;3,x,x,1,3,4,2,1;b3;5,x,x,C#,G#,C#,E
C#m;4,x,1,3,4,2,x,1;b3;5,x,C#,G#,C#,E,x
C#m;5,x,3,4,1,1,x,1;b3;5,x,G#,C#,E,G#,x
C#m;6,x,3,1,x,x,x,1;b3;5,x,C#,E,x,x,x
C#m;7,3,1,x,x,x,x,1;b3;5,C#,E,x,x,x,x
C#m;8,x,x,3,1,1,1,1;b3;5,x,x,C#,E,G#,C#
C#m11;1,x,1,1,1,2,1,1;b3;5;b7;9;11,x,C#,F#,B,E,G#
C#m11;2,2,x,3,4,1,x,1;b3;5;b7;9;11,C#,x,B,E,F#,x
C#m11;3,0,1,1,1,2,1,1;b3;5;b7;9;11,E,C#,F#,B,E,G#
C#m11;4,x,1,1,1,2,x,1;b3;5;b7;9;11,x,C#,F#,B,E,x
C#m11;5,x,2,1,3,1,1,1;b3;5;b7;9;11,x,C#,E,B,C#,F#
C#m11;6,x,2,1,3,4,1,1;b3;5;b7;9;11,x,C#,E,B,D#,F#
C#m11;7,2,x,3,4,1,1,1;b3;5;b7;9;11,C#,x,B,E,F#,B
C#m6;1,x,3,1,2,1,x,1;b3;5;6,x,C#,E,A#,C#,x
C#m6;2,x,1,x,3,2,4,1;b3;5;6,x,C#,x,C#,E,A#
C#m6;3,1,x,3,1,4,1,1;b3;5;6,C#,x,C#,E,A#,C#
C#m6;4,3,1,2,x,x,x,1;b3;5;6,C#,E,A#,x,x,x
C#m7;1,x,3,1,4,1,x,1;b3;5;b7,x,C#,E,B,C#,x
