Chord,E,A,D,G,B,E2,Structure,Note1,Note2,Note3,Note4,Note5,Note6
A#7sus4;2,1,3,1,4,1,1,1;4;5;b7,A#,F,G#,D#,F,A#
A#7sus4;3,x,x,1,3,2,4,1;4;5;b7,x,x,A#,F,G#,D#
A#9b5;1,0,1,0,2,3,0,1;3;b5;b7;9,E,A#,D,G#,C,E
A#9b5;2,2,1,3,1,1,4,1;3;b5;b7;9,A#,D,G#,C,E,A#
A#9b5;3,x,x,1,2,3,1,1;3;b5;b7;9,x,x,A#,E,G#,C
A#aug;1,x,3,2,1,1,x,1;3;#5,x,D,F#,A#,D,x
A#aug;2,4,3,2,1,x,x,1;3;#5,A#,D,F#,A#,x,x
A#aug;3,x,x,4,2,3,1,1;3;#5,x,x,D,F#,A#,D
A#dim;1,x,1,2,3,4,x,1;b3;b5,x,A#,E,A#,C#,x
A#dim;2,x,x,4,3,1,2,1;b3;b5,x,x,A#,C#,E,A#
A#dim;3,1,2,3,1,x,x,1;b3;b5,A#,E,A#,C#,x,x
A#dim7;1,2,4,1,3,x,x,1;b3;b5;bb7,G,C#,E,A#,x,x
A#dim7;2,x,2,3,1,4,x,1;b3;b5;bb7,x,C#,G,A#,E,x
A#dim7;3,x,x,1,3,2,4,1;b3;b5;bb7,x,x,A#,E,G,C#
A#dim7;4,x,1,2,0,3,x,1;b3;b5;bb7,x,A#,E,G,C#,x
A#dim7;5,2,x,1,3,x,x,1;b3;b5;bb7,A#,x,G,C#,x,x
A#dim7;6,2,x,1,3,x,x,1;b3;b5;bb7,C#,x,A#,E,x,x
A#dim7;7,3,x,1,4,2,x,1;b3;b5;bb7,A#,x,G,C#,E,x
A#dim7;8,x,2,3,1,4,x,1;b3;b5;bb7,x,E,A#,C#,G,x
A#m;1,x,1,3,4,2,1,1;b3;5,x,A#,F,A#,C#,F
A#m;2,1,3,4,1,1,1,1;b3;5,A#,F,A#,C#,F,A#
A#m;3,x,x,1,3,4,2,1;b3;5,x,x,A#,F,A#,C#
A#m;4,x,x,3,1,1,x,1;b3;5,x,x,A#,C#,F,x
A#m6;1,x,1,3,0,2,4,1;b3;5;6,x,A#,F,G,C#,G
A#m6;2,1,x,3,1,4,1,1;b3;5;6,A#,x,A#,C#,G,A#
A#m6;3,x,x,1,3,1,2,1;b3;5;6,x,x,A#,F,G,C#
A#m7;1,x,1,3,1,2,1,1;b3;5;b7,x,A#,F,G#,C#,F
A#m7;2,1,3,1,1,4,1,1;b3;5;b7,A#,F,G#,C#,G#,A#
A#m7;3,x,x,1,4,2,3,1;b3;5;b7,x,x,A#,F,G#,C#
A#m9;1,3,1,4,2,x,x,1;b3;5;b7;9,A#,C#,G#,C,x,x
A#m9;2,1,3,1,1,1,4,1;b3;5;b7;9,A#,F,G#,C#,F,C
A#m9;3,x,2,1,3,4,x,1;b3;5;b7;9,x,A#,C#,G#,C,x
A#maj;1,x,1,3,3,3,x,1;3;5,x,A#,F,A#,D,x
A#maj;2,1,3,4,2,1,1,1;3;5,A#,F,A#,D,F,A#
A#maj;3,x,4,3,1,2,1,1;3;5,x,A#,D,F,A#,D
A#maj7;1,x,1,3,2,4,1,1;3;5;7,x,A#,F,A,D,F
A#maj7;2,1,4,2,3,1,x,1;3;5;7,A#,F,A,D,F,x
A#maj7;3,x,4,3,1,1,1,1;3;5;7,x,A#,D,F,A,D
A#maj9;1,x,1,0,4,2,3,1;3;5;7;9,x,A#,D,A,C,F
A#maj9;2,2,1,4,1,x,x,1;3;5;7;9,A#,D,A,C,x,x
A#maj9;3,x,x,4,1,2,1,1;3;5;7;9,x,x,A#,C,F,A
A#sus4;1,x,1,2,3,4,1,1;4;5,x,A#,F,A#,D#,F
A#sus4;2,x,x,1,1,2,4,1;4;5,x,x,F,A#,D#,A#
A#sus4;3,1,1,3,4,1,1,1;4;5,A#,D#,A#,D#,F,A#
Ab5;1,1,3,x,x,x,x,1;5,G#,D,x,x,x,x
Ab5;2,1,3,4,x,x,x,1;5,G#,D,G#,x,x,x
Ab5;3,x,1,1,x,x,x,1;5,x,D,G#,x,x,x
Ab5;4,x,1,3,4,x,x,1;5,x,G#,D,G#,x,x
Ab6;1,x,x,1,1,1,1,1;3;5;6,x,x,D,G#,C,F
Ab6;2,1,x,3,2,4,1,1;3;5;6,G#,x,G#,C,F,G#
Ab6;3,x,4,2,3,1,x,1;3;5;6,x,G#,C,F,G#,x
Ab6;4,x,x,3,2,4,1,1;3;5;6,x,x,G#,C,F,G#
